p.total_normA = 4096.531250
p.total_normB = 4096.532227
[info] elements obtained by MM and AMM
my kernel,cuBLAS
-86.820251, -93.909782
-48.404652, -39.285942
-19.335924, -30.626444
97.249756, 96.405296
73.377762, 68.687462
-20.771252, -17.184528
-70.748253, -70.682144
-29.390116, -41.477043
-1.950777, 10.504812
-125.986519, -124.206703
-96.707771, -92.963234
38.183369, 35.808689
-175.072784, -164.189453
40.621094, 44.559227
17.966778, 24.919954
15.446545, 21.255510
12.340898, 2.386596
10.801433, 9.476340
52.078129, 70.450912
71.796158, 77.982246
109.867661, 116.549812
36.657028, 39.714455
73.563805, 74.307808
-40.245972, -41.261806
-43.097008, -37.620628
-34.590416, -27.412180
16.611601, 25.050299
12.996035, 30.105829
68.138054, 60.188442
59.200760, 53.223110
83.130096, 91.607063
-18.129545, -23.774094
37.319798, 36.131725
21.113056, 16.512461
-68.843552, -76.127693
46.829800, 62.344002
0.016295, -16.508341
25.428089, 31.773729
-133.128952, -127.540108
1.100521, 8.838105
-3.845680, -14.469065
-76.368790, -66.496414
-23.566639, -24.285210
85.577690, 79.828552
-47.341995, -54.590508
113.987251, 118.249687
-72.434906, -67.565315
-66.868881, -64.500443
41.382107, 45.974121
29.411421, 14.660106
53.306065, 57.394337
-72.803787, -71.287552
-60.513454, -56.173054
87.121353, 69.263985
-26.943460, -20.140495
20.221119, 20.966614
5.137493, 14.610083
19.857166, 17.428055
98.402611, 88.215782
43.350452, 53.578110
-93.441299, -96.464355
33.158012, 37.319668
-6.307789, -5.118637
7.624812, 16.484594
34.126171, 32.476849
4.821270, 4.046610
34.452232, 45.030247
65.974174, 67.059708
-110.715408, -116.469383
-28.164627, -21.810505
143.165222, 148.546265
24.120405, 24.044594
-73.123840, -62.633926
-69.081070, -59.000984
9.984995, 6.850204
-16.682032, -10.975528
108.683678, 108.418129
18.562407, 6.168401
-56.976547, -53.840832
-5.248486, -10.218715
10.097939, 23.758600
-5.179351, -14.589817
46.890923, 54.401936
48.802414, 39.501881
-97.644089, -100.227394
15.702668, 18.673319
-9.440632, -4.793484
-13.520918, -15.561212
-20.408888, -12.818362
-36.311722, -30.929893
14.740552, 19.911333
80.709969, 84.391876
-94.257706, -108.495346
37.586754, 37.036133
-57.752079, -50.116528
-70.613304, -64.974823
-4.293505, -6.250218
159.390167, 174.664856
-85.868088, -93.343513
13.713310, 15.467670
24.550371, 5.201026
-7.205296, -14.538507
5.631133, 2.919359
5.176245, 9.422622
111.788155, 115.864563
-24.009546, -10.968927
-55.273056, -65.915627
-51.391312, -49.425598
26.350243, 39.719818
21.542810, 17.137810
-158.281281, -147.749603
7.402571, 7.237016
17.463558, 39.440765
-98.541168, -87.980347
-101.391350, -101.621475
-16.985735, -9.143272
93.882164, 82.590660
-24.981056, -24.230059
-79.947044, -87.701134
-29.943073, -26.959822
-10.073821, -6.180764
39.562752, 38.730595
24.882250, 21.876202
-20.331783, 0.016894
30.419888, 31.662655
-33.668072, -32.800095
27.886959, 38.932957
-103.611198, -102.159561
12.096970, 6.646516
72.405167, 82.883430
-67.551376, -66.194305
35.916676, 33.128933
-80.577843, -90.167946
15.632881, 1.076368
0.310672, 3.681723
-17.092817, -18.798635
63.720478, 70.497581
-1.598535, -0.989015
93.150192, 89.736908
143.718079, 152.713058
-94.301567, -99.878540
14.621113, 7.874858
-6.055839, -9.698147
-61.216053, -57.843384
18.825516, 16.980221
-3.289379, 14.470654
19.816460, 9.004578
47.849506, 43.361515
-77.218552, -76.926239
51.815117, 37.612457
90.295853, 90.815826
-11.158723, -7.821636
-1.701277, -14.380387
-21.414791, -21.401958
67.055916, 61.679455
15.958231, 16.188221
73.103790, 59.890820
65.820862, 61.219330
29.103848, 20.326900
55.385422, 66.363922
-18.233372, -25.806126
-17.308815, -8.359797
102.404297, 99.298439
27.483074, 20.856440
67.367523, 59.512863
4.497881, 8.726337
-26.652855, -21.062386
-0.182519, -1.747115
-69.759491, -63.711803
79.818993, 69.314194
